Date,HINDPETRO,HONAUT,DALBHARAT,PNB,INDIGO,BPCL,POLYCAB,IOC,GRANULES,GAIL,PERSISTENT,APOLLOTYRE,SIEMENS,PFC,CHAMBLFERT,RBLBANK,DIVISLAB,MARICO,OBEROIRLTY,INDIACEM,SRTRANSFIN,NMDC,COALINDIA,PEL,BHEL,GODREJPROP,GNFC,CUB,UPL,JINDALSTEL,NESTLEIND,TATASTEEL,APOLLOHOSP,GMRINFRA,MCX,BERGEPAINT,BHARATFORG,SYNGENE,IDFC,ACC,ULTRACEMCO,ONGC,CANBK,PIIND,DRREDDY,COFORGE,VOLTAS,INDHOTEL,NATIONALUM,TATACONSUM,GRASIM,MFSL,IDFCFIRSTB,MANAPPURAM,NAUKRI,HEROMOTOCO,BANKBARODA,WIPRO,HDFCBANK,IGL,RECLTD,AMBUJACEM,L&TFH,AMARAJABAT,TATACOMM,JKCEMENT,MGL,ZEEL,ASHOKLEY,INDUSINDBK,ITC,MARUTI,CHOLAFIN,INTELLECT,HDFC,GUJGASLTD,SUNTV,SAIL,ABB,RAMCOCEM,PETRONET,SBICARD,ABCAPITAL,DABUR,ABFRL,PVR,ABBOTINDIA,IRCTC,BRITANNIA,ADANIENT,RELIANCE,IPCALAB,TVSMOTOR,FSL,TATAMOTORS,AXISBANK,JSWSTEEL,HCLTECH,INDIAMART,VEDL,FEDERALBNK,ICICIBANK,LT,TORNTPOWER,MRF,UBL,TATACHEM,BANDHANBNK,TORNTPHARM,LUPIN,AARTIIND,DEEPAKNTR,DLF,M&M,INDUSTOWER,BAJAJ-AUTO,MPHASIS,RAIN,HINDALCO,DELTACORP,M&MFIN,BAJFINANCE,PAGEIND,TCS,EXIDEIND,NTPC,HINDUNILVR,BALKRISIND,ESCORTS,TECHM,LICHSGFIN,BATAINDIA,OFSS,HAL,HDFCLIFE,WHIRLPOOL,HINDCOPPER,BAJAJFINSV,BSOFT,CONCOR,TRENT,IEX,ZYDUSLIFE,AUROPHARMA,IDEA,MCDOWELL-N,SBIN,HDFCAMC,BIOCON,IBULHSGFIN,TATAPOWER,BOSCHLTD,SBILIFE,BHARTIARTL,COLPAL,POWERGRID,SHREECEM,MUTHOOTFIN,SUNPHARMA,COROMANDEL,CANFINHOME,ALKEM,CROMPTON,MOTHERSON,ADANIPORTS,AUBANK,CIPLA,ASTRAL,ATUL,SRF,BEL,EICHERMOT,TITAN,HAVELLS,KOTAKBANK,ICICIGI,LALPATHLAB,ICICIPRULI,JUBLFOOD,BALRAMCHIN,LTIM,INFY,PIDILITIND,ASIANPAINT,LAURUSLABS,LTTS,DIXON,CUMMINSIND,METROPOLIS,GLENMARK,GODREJCP,NAVINFLUOR
2015-01-01,550.55,6850.7,,219.65,,654.2,,336.45,831.85,442.6,1733.2,223.6,906.7,305.85,61.2,,1745.45,323.85,280.1,85.65,1102.35,148.25,380.05,832.8,268.55,255.2,82.4,94.3,341.6,156.55,6317.95,404.45,1125.9,18.0,908.85,405.35,937.95,,157.8,1403.55,2662.5,344.05,449.25,537.9,3210.5,367.05,240.8,124.55,55.7,150.7,3402.5,390.85,,35.7,855.75,3105.4,1083.05,552.4,952.05,451.45,335.7,227.75,68.7,815.2,441.6,643.75,,377.7,52.0,812.0,367.15,3340.75,473.0,,1124.0,,378.6,82.75,1301.5,345.5,211.35,,,232.4,119.9,,3802.9,,1831.5,490.0,887.9,720.65,277.55,35.0,498.45,503.05,1065.9,1606.8,,219.25,150.1,352.3,1502.95,158.65,37981.35,834.6,434.5,,1145.5,1429.2,257.25,82.85,137.4,1237.05,339.3,2452.15,391.65,44.15,158.45,90.2,,3499.7,12334.4,2545.55,188.4,142.45,758.45,615.75,129.95,2594.55,438.1,1297.85,3357.65,,,653.6,73.8,1286.6,208.1,1357.9,1482.9,,,1127.1,159.35,2818.3,314.0,,425.05,454.15,82.15,19454.1,,362.9,1805.85,137.1,9377.55,214.4,822.2,307.25,498.25,,,455.4,319.55,,628.4,389.15,1374.55,876.4,2939.35,15262.35,379.8,276.3,1258.6,,,,1365.7,60.05,,1974.4,549.25,749.15,,,,871.7,,775.5,965.9,639.95
2015-01-02,546.25,6843.0,,219.8,,644.4,,334.6,828.65,444.6,1874.35,223.65,914.35,306.8,61.9,,1752.9,329.95,288.5,86.4,1106.1,146.95,381.75,839.5,275.3,256.6,83.45,94.15,352.25,161.95,6331.5,410.75,1127.85,18.05,876.05,452.5,943.2,,158.8,1425.9,2742.1,349.2,448.65,549.6,3221.4,380.1,245.65,120.9,55.1,152.5,3495.7,387.5,,34.75,854.2,3098.1,1096.25,557.3,965.3,452.25,334.9,230.95,69.2,806.85,435.45,643.4,,380.95,53.4,815.9,368.3,3359.6,490.35,88.95,1171.9,,375.7,82.85,1288.0,344.75,211.2,,,234.7,118.85,,3895.85,,1878.55,492.4,885.55,726.6,267.45,35.25,511.8,514.3,1069.15,1605.25,,222.3,149.0,362.3,1534.65,161.95,38192.25,835.6,438.15,,1192.5,1432.3,259.55,85.25,139.2,1224.65,337.2,2451.75,390.1,42.9,160.1,92.45,,3443.75,12419.65,2579.45,184.55,144.4,755.95,617.65,128.25,2607.25,466.75,1320.3,3411.15,,,665.6,73.45,1275.65,214.55,1357.6,1469.85,,,1132.5,159.9,2812.75,315.25,,428.75,480.35,83.35,19539.85,,365.05,1843.9,138.75,9325.9,203.45,826.25,301.55,557.3,,,457.15,319.35,,630.15,386.7,1356.2,921.75,2924.65,15081.95,382.8,275.1,1271.55,,,,1371.5,60.1,,2013.2,559.9,775.05,,,,919.25,,767.85,970.1,650.45
2015-01-05,561.7,6892.45,,217.75,,645.65,,338.2,820.6,446.0,1765.25,229.6,918.65,304.45,61.45,,1742.35,323.95,286.2,87.2,1071.6,146.2,380.25,838.1,273.4,264.45,83.65,97.3,345.7,162.85,6334.9,416.7,1131.6,17.95,872.15,437.6,946.3,,160.9,1433.65,2747.7,353.15,450.4,542.3,3148.4,374.65,245.85,120.65,53.45,152.95,3508.85,393.15,,34.8,849.45,3119.4,1095.95,558.3,957.15,459.85,333.95,230.65,69.25,811.5,437.1,638.9,,380.0,57.8,819.1,369.75,3447.8,498.05,91.65,1156.4,,370.0,82.7,1288.3,332.75,212.0,,,231.45,120.0,,4014.15,,1879.85,500.55,875.85,732.95,270.9,34.75,523.8,517.55,1066.6,1578.25,,219.8,147.8,363.05,1556.0,161.9,38477.3,832.9,435.75,,1187.2,1430.3,255.6,84.3,135.8,1218.45,342.4,2460.7,391.45,43.15,156.85,92.5,,3434.75,12080.75,2540.25,185.5,144.0,760.3,645.15,127.9,2563.75,470.2,1324.3,3405.6,,,680.4,73.35,1258.7,210.45,1378.0,1471.55,,,1131.95,153.55,2793.6,312.75,,429.35,483.4,82.85,19736.05,,356.95,1828.15,138.9,9302.55,198.45,826.75,303.2,574.05,,,449.25,323.8,,633.0,380.55,1325.75,907.45,2869.4,15150.55,385.9,277.8,1266.45,,,,1380.3,60.55,,1995.9,551.8,775.0,,,,937.9,,751.4,970.45,650.15
2015-01-06,556.15,6825.75,,207.75,,639.15,,334.45,790.65,431.9,1723.9,221.65,895.7,287.75,59.85,,1674.15,327.65,278.05,82.4,1045.45,139.95,379.95,827.2,260.95,255.45,81.5,97.1,328.95,152.65,6246.8,396.5,1097.9,17.35,853.2,423.35,892.7,,156.0,1383.55,2670.6,333.15,437.95,540.7,3065.55,364.85,237.35,117.9,51.5,148.15,3375.05,384.95,,33.2,837.45,3014.4,1059.5,545.25,942.25,447.05,319.85,222.15,66.0,790.7,416.8,612.35,,367.9,56.55,798.4,360.25,3395.25,482.25,86.3,1101.95,,350.05,78.65,1276.6,321.8,205.45,,,224.35,118.0,,4077.95,,1881.9,496.75,836.1,728.7,268.05,33.0,501.4,499.05,1027.7,1536.1,,209.05,145.7,347.65,1504.1,160.4,37460.0,832.45,422.6,,1132.6,1395.85,253.1,81.95,133.65,1211.65,341.55,2441.5,388.55,42.6,153.4,88.7,,3425.85,11639.85,2446.6,185.15,139.2,774.7,631.85,121.7,2536.25,447.55,1275.5,3300.6,,,657.75,70.05,1229.6,206.4,1349.2,1450.9,,,1087.8,150.5,2797.45,299.9,,414.8,473.6,79.65,19188.7,,354.15,1840.15,135.8,9076.35,195.95,808.55,303.5,559.45,,,435.0,321.85,,614.35,366.9,1295.3,867.4,2831.45,14755.9,372.7,262.65,1251.35,,,,1336.2,60.8,,1954.2,526.6,756.5,,,,909.3,,721.75,952.0,638.2
2015-01-07,568.6,6786.3,,203.85,,644.95,,335.05,780.95,420.9,1733.7,218.8,899.2,277.6,60.3,,1649.65,322.0,268.45,84.3,1040.0,135.85,374.7,835.25,253.85,252.25,84.05,97.0,323.05,150.35,6272.95,388.9,1106.5,16.95,855.0,435.75,900.4,,154.45,1367.45,2660.05,338.05,437.2,532.25,3039.2,356.15,229.45,114.9,50.95,148.45,3417.5,386.0,,34.0,843.4,2974.05,1066.7,541.1,945.0,431.95,317.85,220.1,66.05,814.5,423.65,598.4,,364.85,59.65,791.95,353.55,3437.75,480.3,89.45,1099.25,,342.35,77.8,1258.2,318.1,209.6,,,227.75,119.0,,4118.65,,1995.75,492.35,854.3,727.9,278.3,32.55,493.85,498.65,1011.85,1499.6,,209.0,146.15,338.25,1500.5,160.4,37381.05,897.1,432.6,,1126.55,1377.6,247.85,82.8,134.6,1224.15,342.65,2447.2,385.75,42.6,148.9,88.7,,3495.6,11388.6,2417.7,183.65,142.55,801.9,630.9,120.75,2524.4,457.25,1280.9,3300.7,,,643.85,68.9,1228.55,205.55,1355.45,1488.55,,,1105.05,149.75,2806.7,300.15,,404.35,497.5,78.25,19156.7,,355.0,1874.35,137.75,9064.0,195.6,809.8,303.0,568.8,,,441.0,321.1,,611.95,362.75,1312.65,857.75,3213.0,14959.9,374.6,266.25,1271.5,,,,1319.05,61.55,,1963.55,519.95,771.7,,,,900.05,,719.65,960.15,660.65
2015-01-08,598.05,6806.05,,206.55,,677.6,,343.5,790.55,430.75,1743.75,226.65,920.4,279.5,61.25,,1653.05,321.55,271.5,86.15,1053.4,137.55,379.45,840.4,257.55,252.5,84.95,96.85,332.8,157.9,6300.45,394.95,1126.35,17.1,852.65,239.9,930.8,,156.6,1391.4,2727.45,341.8,451.95,535.7,3066.3,359.5,243.35,115.75,51.15,153.7,3424.95,390.3,,34.05,848.3,2984.0,1077.6,545.0,964.85,454.75,320.9,226.4,67.05,825.0,425.7,610.75,,364.5,61.25,798.7,362.4,3475.5,487.7,96.9,1123.35,,347.75,79.15,1288.0,324.2,217.2,,,230.0,119.1,,4197.0,,1969.2,511.75,842.05,729.4,296.2,33.4,512.0,501.95,1022.1,1534.3,,210.5,148.5,347.45,1510.05,164.8,38076.5,893.35,440.4,,1147.5,1407.95,253.6,82.55,142.75,1237.6,344.05,2450.4,382.65,42.8,152.55,95.1,,3489.65,11194.15,2443.8,185.6,144.95,817.05,647.0,126.1,2566.65,469.15,1323.05,3325.15,,,654.55,70.95,1289.8,204.65,1347.85,1502.45,,,1126.7,152.3,2833.45,304.85,,410.7,504.65,80.0,19618.9,,361.15,1924.9,138.35,9161.75,196.55,818.8,303.15,574.9,,,442.95,334.55,,618.2,364.2,1296.0,864.85,3144.5,14873.7,372.9,273.8,1340.65,,,,1351.9,61.75,,1973.45,519.8,820.35,,,,893.2,,740.8,990.15,657.0
2015-01-09,589.1,6783.7,,206.6,,679.35,,341.7,812.7,435.3,1822.5,224.1,914.45,280.7,62.4,,1702.25,318.95,269.2,83.7,1061.1,135.35,375.05,842.05,254.75,251.0,84.55,96.65,332.35,152.85,6386.35,399.65,1124.65,17.2,842.55,244.6,929.05,,154.0,1398.5,2729.35,351.0,440.75,531.85,3163.8,359.85,246.0,119.1,50.55,155.6,3404.55,392.0,,34.1,866.65,2992.25,1060.45,553.5,975.65,451.6,315.2,223.8,67.2,815.75,425.25,603.2,,360.8,58.7,802.0,356.9,3468.2,485.55,115.7,1113.3,,353.65,78.55,1265.05,320.6,213.9,,,229.45,118.95,,4174.75,,1945.3,506.65,860.3,738.6,296.5,34.55,522.3,494.95,1012.95,1545.55,,207.8,149.25,341.85,1500.25,164.3,37707.25,903.95,442.05,,1184.35,1420.7,251.75,82.6,137.85,1238.2,343.0,2375.85,382.45,42.05,155.0,92.85,,3450.05,11031.25,2512.3,189.5,140.25,864.6,646.05,126.2,2680.35,473.2,1356.9,3289.2,,,672.4,70.15,1279.2,201.6,1365.75,1472.2,,,1169.55,147.6,2857.1,303.2,,415.95,495.5,79.8,19450.3,,355.8,1920.2,138.45,9188.3,196.3,830.05,303.8,657.3,,,437.75,331.15,,632.35,371.45,1325.45,855.65,3202.2,14738.7,372.9,273.1,1360.95,,,,1375.5,60.55,,2074.45,522.25,812.5,,,,876.95,,735.4,1023.55,664.25
2015-01-12,585.0,6826.1,,208.95,,676.4,,339.5,843.15,430.25,1800.05,225.4,926.2,283.45,61.75,,1706.3,318.75,270.65,86.7,1040.85,133.7,357.85,831.75,257.65,253.2,83.75,97.85,330.6,149.4,6462.75,396.75,1118.45,17.25,860.2,230.55,1001.3,,155.4,1404.6,2700.3,347.7,444.95,532.35,3207.25,365.4,245.9,118.8,49.65,157.35,3435.55,396.75,,33.7,853.05,2937.15,1080.0,556.05,967.05,452.6,315.15,228.0,67.6,816.3,420.55,608.65,,360.9,60.3,829.45,357.85,3462.9,496.15,129.95,1128.55,,377.55,80.0,1267.0,320.4,206.85,,,234.75,119.0,,4118.65,,1932.0,514.55,850.3,733.3,299.5,33.85,522.3,501.55,1000.7,1575.55,,206.25,149.85,346.55,1534.2,167.95,38094.45,912.95,439.8,,1138.2,1431.0,251.6,82.55,136.5,1233.0,342.5,2334.0,377.65,41.95,151.1,97.05,,3438.2,10974.4,2509.7,188.7,140.0,896.6,654.45,125.35,2754.0,459.1,1374.25,3273.25,,,678.25,70.3,1267.7,213.95,1352.3,1448.25,,,1177.6,146.1,3044.75,307.1,,420.3,497.6,80.3,20326.25,,348.95,1926.85,136.5,9202.05,196.15,835.3,299.4,614.9,,,435.5,328.45,,630.75,368.65,1369.75,847.9,3215.05,14857.65,376.8,270.85,1371.0,,,,1418.4,62.5,,2115.95,525.7,807.75,,,,870.65,,727.05,1058.85,660.05
2015-01-13,588.1,6905.45,,207.35,,669.55,,340.15,836.55,428.15,1817.8,223.65,919.4,275.3,60.8,,1723.9,334.25,267.35,89.7,1039.5,135.0,361.2,840.35,257.5,252.7,84.85,96.4,344.75,148.75,6714.65,391.5,1150.1,16.85,863.15,234.6,985.1,,156.6,1441.7,2818.5,339.95,444.7,528.1,3223.35,370.1,242.05,118.65,48.8,155.25,3546.35,405.1,,34.05,855.3,2893.2,1081.6,563.5,963.35,459.05,310.9,230.1,66.85,821.95,425.35,628.25,,361.75,59.8,825.5,360.1,3468.25,499.15,120.9,1122.2,,371.0,78.25,1271.3,325.65,207.25,,,235.75,118.35,,4068.85,,1933.4,496.7,843.15,742.9,308.95,33.5,519.45,504.5,993.45,1583.6,,204.6,148.35,340.9,1519.5,168.85,38170.1,926.1,447.85,,1147.95,1433.05,259.75,82.5,133.25,1248.8,340.7,2324.1,383.4,42.1,151.7,95.15,,3483.0,10870.55,2497.9,185.2,138.95,884.55,667.3,126.55,2761.1,462.35,1394.4,3302.6,,,662.65,72.6,1286.45,212.75,1357.45,1423.2,,,1150.35,147.0,3104.05,305.1,,426.9,492.2,79.1,20403.55,,346.3,1939.7,135.85,9231.9,196.05,833.1,297.15,620.75,,,446.25,323.0,,636.4,370.2,1374.9,897.75,3332.95,14799.15,372.2,270.35,1392.95,,,,1397.1,63.1,,2088.9,538.55,833.85,,,,878.35,,728.8,1081.15,645.9
2015-01-14,573.2,6995.9,,203.05,,651.7,,335.7,830.3,426.5,1786.95,219.1,931.65,280.1,60.3,,1705.3,351.85,266.45,88.85,1034.2,132.7,363.2,836.9,268.75,251.3,84.35,94.7,358.2,146.85,6781.85,376.85,1160.55,16.5,850.65,228.3,983.2,,156.55,1478.35,2908.85,344.05,438.6,529.45,3208.25,382.8,247.75,115.9,47.6,154.85,3566.8,407.8,,34.05,844.95,2903.05,1075.05,551.95,963.9,446.4,312.1,232.85,66.35,841.1,423.95,659.9,,359.95,58.95,816.65,347.8,3516.0,522.15,117.65,1120.3,,365.65,77.05,1262.5,325.95,203.2,,,251.05,118.55,,4083.25,,1946.05,491.35,834.95,732.75,307.9,31.75,520.35,499.6,968.25,1578.8,,188.1,148.15,336.9,1518.0,167.15,38235.35,931.15,443.05,,1125.6,1423.35,258.15,83.4,133.35,1236.95,339.2,2363.45,379.6,41.25,142.15,95.35,,3773.95,10839.5,2521.95,185.4,137.75,924.05,670.45,124.0,2791.55,454.05,1413.55,3368.3,,,663.7,71.8,1254.2,208.7,1367.85,1395.5,,,1144.5,148.5,3064.45,304.7,,423.65,499.45,78.85,20985.95,,345.8,1938.7,136.05,9262.4,192.45,820.65,296.9,618.85,,,443.15,331.25,,631.4,372.05,1355.2,916.8,3289.05,14833.55,371.6,263.65,1391.2,,,,1398.1,63.0,,2128.65,567.3,842.65,,,,879.1,,718.9,1085.45,644.2
